ts_ms,person,joint,x,y,score
2700801551,0,Nose,773.3333129882812,114.16667938232422,0.7496711015701294
2700801551,0,LEye,790.0,101.66667938232422,0.7781808376312256
2700801551,0,REye,760.8333129882812,97.50000762939453,0.7772876024246216
2700801551,0,LEar,806.6666870117188,118.33334350585938,0.7281503677368164
2700801551,0,REar,744.1666870117188,114.16667938232422,0.7636102437973022
2700801551,0,LShoulder,652.5,222.5,0.8342456817626953
2700801551,0,RShoulder,652.5,222.5,0.8389761447906494
2700801551,0,LElbow,606.6666870117188,364.1666564941406,0.6772947311401367
2700801551,0,RElbow,606.6666870117188,364.1666564941406,0.705806314945221
2700801551,0,LWrist,594.1666870117188,480.8333435058594,0.5711133480072021
2700801551,0,RWrist,598.3333129882812,480.8333435058594,0.601433277130127
2700801551,0,LHip,673.3333129882812,518.3333129882812,0.7699875831604004
2700801551,0,RHip,681.6666870117188,518.3333129882812,0.7904199361801147
2700801551,0,LKnee,827.5,697.5,0.7570303678512573
2700801551,0,Rknee,681.6666870117188,697.5,0.7951319217681885
2700801551,0,LAnkle,673.3333129882812,726.6666259765625,0.44410234689712524
2700801551,0,RAnkle,677.5,726.6666259765625,0.42606645822525024
2700801551,0,Head,781.6666870117188,43.333343505859375,0.8791941404342651
2700801551,0,Neck,765.0,172.5,0.9404276609420776
2700801551,0,Hip,756.6666870117188,505.83331298828125,0.845314621925354
2700801811,0,Nose,773.3333129882812,118.33334350585938,0.7626793384552002
2700801811,0,LEye,794.1666870117188,105.83334350585938,0.8013993501663208
2700801811,0,REye,756.6666870117188,101.66667938232422,0.8088158965110779
2700801811,0,LEar,815.0,118.33334350585938,0.8095265626907349
2700801811,0,REar,735.8333129882812,114.16667938232422,0.8776573538780212
2700801811,0,LShoulder,865.0,222.5,0.8650370836257935
2700801811,0,RShoulder,660.8333129882812,222.5,0.8679829835891724
2700801811,0,LElbow,902.5,364.1666564941406,0.7354527115821838
2700801811,0,RElbow,606.6666870117188,360.0,0.7847578525543213
2700801811,0,LWrist,910.8333129882812,485.0,0.6490814685821533
2700801811,0,RWrist,590.0,472.5,0.6825959086418152
2700801811,0,LHip,815.0,518.3333129882812,0.7770186066627502
2700801811,0,RHip,685.8333129882812,518.3333129882812,0.836618185043335
2700801811,0,LKnee,823.3333129882812,697.5,0.8141152858734131
2700801811,0,Rknee,685.8333129882812,697.5,0.863705575466156
2700801811,0,LAnkle,831.6666870117188,722.5,0.4813954830169678
2700801811,0,RAnkle,685.8333129882812,722.5,0.5128484964370728
2700801811,0,Head,781.6666870117188,43.333343505859375,0.879470705986023
2700801811,0,Neck,765.0,172.5,0.9456511735916138
2700801811,0,Hip,752.5,505.83331298828125,0.8599037528038025
2700802025,0,Nose,773.3333129882812,114.16667938232422,0.757656455039978
2700802025,0,LEye,790.0,101.66667938232422,0.7965352535247803
2700802025,0,REye,756.6666870117188,97.50000762939453,0.8067898750305176
2700802025,0,LEar,810.8333129882812,118.33334350585938,0.8177422285079956
2700802025,0,REar,735.8333129882812,110.00000762939453,0.8684511184692383
